id;n3;n2;n4;n117;id_localisation
323;0131434N;Privé sous contrat d'association;Lycée professionnel Ecole Libre De Metiers;;1262
324;0131436R;Privé sous contrat d'association;Lycée Modele Electronique;;775
325;0131456M;Privé sous contrat d'association;Lycée Pastré - Grande Bastide;;1096
326;0131484T;Privé sous contrat d'association;Lycée professionnel Brise Lames;;109
327;0131485U;Privé sous contrat d'association;Lycée professionnel LE ROCHER;;987
328;0131549N;Public;Lycée Frederic Joliot-Curie;;225
329;0131596P;Public;Lycée Militaire d'Aix-en-Provence;;36
330;0131656E;Public;Lycée agricole Aix-Valabre;;434
331;0131681G;Privé sous contrat d'association;Lycée technologique privé Chimie et Biologie La Forbine;;775
332;0131684K;Privé sous contrat d'association;Lycée Jeanne Perrimond;;531
333;0131690S;Privé sous contrat d'association;Lycée agricole Fontlongue;;463
334;0131862D;Privé sous contrat d'association;Lycée SACRE COEUR;;36
335;0132010P;Privé sous contrat d'association;MFREO de Lambesc;;2
336;0132133Y;Public;Aix-Marseille Université - Site d'Aix-en-Provence (3 Schuman);;36
337;0132193N;Privé sous contrat d'association;Lycée professionnel Edmond Rostand;;107
338;0132210G;Public;Lycée Jean Lurçat;;109
339;0132246A;Privé enseignement supérieur;ESAIP Aix-en-Provence;;36
340;0132276D;Public;Lycée professionnel Pierre Latecoere;;234
341;0132300E;Privé sous contrat d'association;Lycée Jeanne D Arc;;1174
342;0132410Z;Public;Lycée Maurice Genevoix;;194
343;0132495S;Public;Lycée Arthur Rimbaud;;234
344;0132557J;Public;BEAUX-ARTS DE MARSEILLE;;1096
345;0132733A;Public;Lycée Antonin Artaud;;927
346;0132820V;Public;IFSI St Jacques;;399
347;0132828D;Privé sous contrat d'association;Lycée CADENELLE;;241
348;0132922F;Privé sous contrat d'association;Lycée St Jean;;987
349;0132927L;Public;IFSI du GCSPA d'Aix-en-Provence;;36
350;0132930P;Public;IFSI CH d'Arles;;1174
351;0132931R;Public;IFSI CH d'Aubagne;;225
352;0132932S;Public;IFSI CH de Martigues;;109
353;0132933T;Public;IFSI du GCSPA de Salon-de-Provence;;987
354;0132937X;Public;IFSI Hôpital Nord;;861
355;0132939Z;Privé enseignement supérieur;I.F.S.I. BLANCARDE;;799
356;0132940A;Public;IFSI Croix Rouge Française Marseille;;399
357;0132943D;Public;IFSI Hop Ste Marguerite;;1096
358;0132963A;Public;IFSI Capelette;;35
359;0132972K;Public;Institut de formation de manipulateurs d'électroradiologie médicale - Laurent CHEVROT - Hôpitaux universitaires de Marseille;;861
360;0132974M;Public;Lycée Hotelier Regional;;107
361;0133015G;Public;Lycée Pierre Mendès France;;590
362;0133244F;Public;Lycée Marie Madeleine Fourcade;;434
363;0133288D;Public;Lycée Jean Monnet;;590
364;0133305X;Privé sous contrat d'association;LYCEE PROFESSIONNEL PRIVE CLOVIS HUGUES;;36
365;0133314G;Privé sous contrat d'association;Lycée St Louis - Ste Marie;;203
366;0133334D;Privé sous contrat d'association;Lycée ORT Léon Bramson;;35
367;0133383G;Privé sous contrat d'association;IMF Marseille;;927
368;0133396W;Privé sous contrat d'association;Lycée Don Bosco;;1262
369;0133424B;Privé sous contrat d'association;Lycée CAUCADIS;;590
370;0133425C;Privé sous contrat d'association;Lycée Celony;;36
371;0133479L;Public;IUT Aix-Marseille - Site de Marseille Luminy;;1096
372;0133502L;Public;I.U.T d'Aix-Marseille - Site de Salon-De-Provence;;987
373;0133516B;Public;Aix-Marseille Université - Site d'Aix-en-Provence (Montperrin);;36
374;0133522H;Public;Aix-Marseille Université - Site d'Arles;;1174
375;0133525L;Public;Lycée Georges Duby;;36
376;0133648V;Public;IUT Aix-Marseille - Site de la Ciotat;;1234
377;0133658F;Public;Aix-Marseille Université - Site de Marseille Espace Canebière;;49
378;0133661J;Public;Aix-Marseille Université - Site de Marseille Colbert;;49
379;0133686L;Public;I.U.T d'Aix-Marseille - Site d'Arles;;1174
380;0133794D;Public;Aix-Marseille Université - Site d'Aix-en-Provence (Centre Ville);;36
381;0133909D;Privé hors contrat;AIS - ECOLE SUPERIEURE DE L'AUDIOVISUEL - ATELIERS DE L'IMAGE ET DU SON;;107
382;0133925W;Privé enseignement supérieur;Ecole MOPA;;1174
383;0133944S;Privé enseignement supérieur;CESI Campus d'Aix-En-Provence;;36
384;0133960J;Privé sous contrat d'association;ISRP;;1096
385;0133999B;Privé enseignement supérieur;EPITECH - Campus de Marseille;;307
386;0134003F;Public;NELSON MANDELA;;241
387;0134009M;Public;Aix-Marseille Université;;531
388;0134014T;Public;Polytech Marseille;;927
389;0134015U;Public;Aix-Marseille Université - Site de Marseille Saint Charles;;799
390;0134016V;Public;Aix-Marseille Université - Site d'Aix-en-Provence (La Pauliane);;36
391;0134017W;Public;Aix-Marseille Université - Site d'Aix-en-Provence;;36
392;0134061U;Public;IUT Aix-Marseille - Site d'Aix-En-Provence;;36
393;0134155W;Public;LYCEE POLYVALENT SIMONE VEIL;;927
