id;n10;n11;n12;n13;n14;n15;n16
131;BUT - Carrières sociales Parcours assistance sociale;formation sélective;BUT;I.U.T du Havre - BUT - Carrières sociales Parcours assistance sociale;BUT - Service;Carrières sociales Parcours assistance sociale;
132;BTS - Production - Traitement des matériaux;formation sélective;BTS;Lycée Jean Dupuy - BTS - Production - Traitement des matériaux;BTS - Production;Traitement des matériaux;
133;BTS - Services - Management Commercial Opérationnel;formation sélective;BTS;Lycée René Descartes - BTS - Services - Management Commercial Opérationnel;BTS - Services;Management Commercial Opérationnel;
134;Licence - Langues étrangères appliquées - Parcours Anglais-Allemand;formation non sélective;Licence;Université Paul Valery - Montpellier 3 - Licence - Langues étrangères appliquées - Parcours Anglais-Allemand;Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais-Allemand
135;Licence - Portail Informatique, Mathématiques et Application (IMA);formation non sélective;Licence;Université Grenoble Alpes - Licence - Portail Informatique, Mathématiques et Application (IMA);Licence - Sciences - technologies - santé;Informatique;Informatique, Mathématiques et Application (IMA)
136;Formation d'ingénieur Bac + 5 - bac S,STI2D;formation sélective;Ecole d'Ingénieur;IG2I - Formation d'ingénieur Bac + 5 - bac S,STI2D;Formations  des écoles d'ingénieurs;Formation d'ingénieur Bac + 5;bac S,STI2D
137;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;formation sélective;BTS;Lycée Val De Garonne - BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;BTS - Production;Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;
267;Licence - Portail Sciences sociales;formation non sélective;Licence_Las;Université Paris Cité - Licence - Portail Sciences sociales;Licence - Sciences humaines et sociales;Sciences sociales;
138;Licence - Portail Langues, littératures et civilisations étrangères et régionales - Parcours Afrique et océan Indien - Haoussa;formation non sélective;Licence_Las;INALCO - Licence - Portail Langues, littératures et civilisations étrangères et régionales - Parcours Afrique et océan Indien - Haoussa;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Parcours Afrique et océan Indien - Haoussa
139;BUT - Gestion des entreprises et des administrations;formation sélective;BUT;I.U.T de Tremblay-en-France - Paris 8 - BUT - Gestion des entreprises et des administrations;BUT - Service;Gestion des entreprises et des administrations;
140;BTS - Services - Management Commercial Opérationnel;formation sélective;BTS;Lycée Boissy D'Anglas - BTS - Services - Management Commercial Opérationnel;BTS - Services;Management Commercial Opérationnel;
141;Licence - Double diplôme - Licence Mathématiques et informatique appliquées aux sciences humaines et sociales - Mathématiques appliquées et Sciences sociales;formation sélective;Licence;Institut d'études politiques de Paris - Sciences Po - Licence - Double diplôme - Licence Mathématiques et informatique appliquées aux sciences humaines et sociales - Mathématiques appliquées et Sciences sociales;Licence - Sciences - technologies - santé;Mathématiques et informatique appliquées aux sciences humaines et sociales;Mathématiques appliquées et Sciences sociales
142;Mise à niveau - Hôtellerie restauration;formation sélective;Autre formation;Lycée des Métiers - Hotelier - Mise à niveau - Hôtellerie restauration;Mise à niveau;Hôtellerie restauration;
143;Diplôme de Comptabilité et de Gestion;formation sélective;Autre formation;I.U.T. 2 de Grenoble - Diplôme de Comptabilité et de Gestion;DCG;Diplôme de Comptabilité et de Gestion;
144;FCIL - Cuisine végétale;formation sélective;Autre formation;Lycée professionnel Jacques De Romas - FCIL - Cuisine végétale;FCIL;FCIL;Cuisine végétale
145;Licence - Portail Géographie et aménagement;formation non sélective;Licence_Las;Le Mans Université - Licence - Portail Géographie et aménagement;Licence - Sciences humaines et sociales;Géographie et aménagement;
146;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;formation sélective;BTS;Lycée Condorcet - BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;BTS - Production;Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;
147;BTS - Services - Banque;formation sélective;BTS;Lycée Sophie Berthelot - BTS - Services - Banque;BTS - Services;Banque;
148;BTS - Production - Aéronautique;formation sélective;BTS;Lycée Pierre Mendès France - BTS - Production - Aéronautique;BTS - Production;Aéronautique;
149;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours  Anglais;formation non sélective;Licence;Université de Rennes 2 - Licence - Langues, littératures et civilisations étrangères et régionales - Parcours  Anglais;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Anglais
150;Licence - Langues étrangères appliquées - Parcours Anglais néerlandais appliqués aux affaires;formation non sélective;Licence;Université de Lille - Licence - Langues étrangères appliquées - Parcours Anglais néerlandais appliqués aux affaires;Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais néerlandais appliqués aux affaires
151;BTS - Production - Aéronautique;formation sélective;BTS;Lycée Tristan Corbiere - BTS - Production - Aéronautique;BTS - Production;Aéronautique;
152;BUT - Carrières juridiques;formation sélective;BUT;I.U.T de Perpignan (Site de Narbonne) - BUT - Carrières juridiques;BUT - Service;Carrières juridiques;
153;Licence - Histoire - Parcours option Histoire et archéologie de l'environnement et option Histoire et Science politique;formation non sélective;Licence;Université de Bretagne Sud - Site de Lorient - Licence - Histoire - Parcours option Histoire et archéologie de l'environnement et option Histoire et Science politique;Licence - Sciences humaines et sociales;Histoire;option Histoire et archéologie de l'environnement et option Histoire et Science politique
154;CPGE - ECG - Mathématiques appliquées + ESH;formation sélective;CPGE;Lycée Hector Berlioz - CPGE - ECG - Mathématiques appliquées + ESH;Classe préparatoire économique et commerciale;ECG - Mathématiques appliquées + ESH;
155;Licence - Double diplôme - Licence Information et communication - « Culture européenne des médias » - Cursus franco - allemand;formation sélective;Licence;Université Lyon 2 - Campus Porte des Alpes - Licence - Double diplôme - Licence Information et communication - « Culture européenne des médias » - Cursus franco - allemand;Licence - Sciences humaines et sociales;Information et communication;« Culture européenne des médias » - Cursus franco - allemand
156;Licence - Information et communication - Parcours Information-Communication - Mineure Arts et Médias;formation non sélective;Licence;Université Sorbonne Nouvelle Paris 3 - Licence - Information et communication - Parcours Information-Communication - Mineure Arts et Médias;Licence - Sciences humaines et sociales;Information et communication;Information-Communication - Mineure Arts et Médias
157;Formation des écoles de commerce et de management Bac + 5;formation sélective;Ecole de Commerce;Concours ACCES - Formation des écoles de commerce et de management Bac + 5;Formation des écoles de commerce et de management;Formation des écoles de commerce et de management Bac + 5;Programme Grande Ecole + DU World Foreign Policy en partenariat avec l'Institut des Droits de l'homme de l'Institut Catholique de Lyon
158;Licence - Musicologie;formation non sélective;Licence;Université d'Evry Val d'Essonne - Licence - Musicologie;Licence - Arts-lettres-langues;Musicologie;
159;Formation des écoles de commerce et de management Bac + 3 - Bachelor of Business Administration;formation sélective;Ecole de Commerce;IPAG Business School - Campus de Paris - Formation des écoles de commerce et de management Bac + 3 - Bachelor of Business Administration;Formation des écoles de commerce et de management;Formation des écoles de commerce et de management Bac + 3;Bachelor of Business Administration
160;Licence - Portail Physique, chimie - Parcours physique-chimie ou physique franco-allemand;formation non sélective;Licence;Le Mans Université - Licence - Portail Physique, chimie - Parcours physique-chimie ou physique franco-allemand;Licence - Sciences - technologies - santé;Physique, chimie;Parcours physique-chimie ou physique franco-allemand
161;Licence - Portail Sciences pour la santé;formation non sélective;Licence_Las;Université de Caen Normandie - Licence - Portail Sciences pour la santé;Licence - Sciences - technologies - santé;Sciences pour la santé;
349;CPGE - MPSI;formation sélective;CPGE;Lycée Robespierre - CPGE - MPSI;Classe préparatoire scientifique;MPSI;
162;BTS - Agricole - Métiers du Végétal : Alimentation, Ornement, Environnement;formation sélective;BTS;L.E.G.T.A. Montauban - Capou - BTS - Agricole - Métiers du Végétal : Alimentation, Ornement, Environnement;BTS - Agricole;Métiers du Végétal : Alimentation, Ornement, Environnement;
163;BTS - Services - Support à l'action managériale;formation sélective;BTS;Lycée F Philibert Dessaignes - BTS - Services - Support à l'action managériale;BTS - Services;Support à l'action managériale;
164;Licence - Gestion - Parcours franco-allemand - Management franco-allemand et international (ISFATES);formation sélective;Licence;Université de Lorraine - Institut Supérieur Franco-Allemand de Techniques, d'Economie et de Sciences - Site de Metz (57) - Licence - Gestion - Parcours franco-allemand - Management franco-allemand et international (ISFATES);Licence - Droit-économie-gestion;Gestion;franco-allemand - Management franco-allemand et international (ISFATES)
165;Licence - Portail Sciences pour la santé;formation non sélective;Licence_Las;Université Claude Bernard Lyon 1 - Licence - Portail Sciences pour la santé;Licence - Sciences - technologies - santé;Sciences pour la santé;
166;Licence - Double diplôme - Licence Lettres - Lettres Modernes et Communication;formation sélective;Licence;Institut Catholique de Rennes - Licence - Double diplôme - Licence Lettres - Lettres Modernes et Communication;Licence - Arts-lettres-langues;Lettres;Lettres Modernes et Communication
167;Licence - Etudes culturelles - Parcours Métiers du livre et médiation numérique;formation non sélective;Licence;Université Clermont Auvergne - Licence - Etudes culturelles - Parcours Métiers du livre et médiation numérique;Licence - Arts-lettres-langues;Etudes culturelles;Métiers du livre et médiation numérique
